$Time_Field
$Time_Field$phylum_table
               Phylum  mean_imp   imp_sd   n
10                                           g__Bacillus  5.876374 0.16564948  2
11                                          g__Comamonas 17.185682 8.03388370  2
12                                            g__Delftia  7.295836 2.50786858  2
13                                      g__Lactobacillus  4.667688 0.01652276  2
14                                       g__Ochrobactrum  8.722616 3.93055791  2
15                                     g__Pectobacterium 12.394406 4.11738875  2
16                                         g__Pedobacter  6.565986 1.21085877  2
17                                  g__Pseudarthrobacter  6.364233 0.07904000  2
18                                         g__Raoultella  9.458305 1.72396355  2
19                                          g__Agromyces  5.675034 0.00000000  1
20 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium 10.586181 0.00000000  1
21                                        g__Aminobacter  6.024711 0.00000000  1
22                                        g__Blastomonas  5.149000 0.00000000  1
23                                     g__Bradyrhizobium  5.578850 0.00000000  1
24                       g__Clostridium_sensu_stricto_10  7.852242 0.00000000  1
25                                         g__Dubosiella 13.774697 0.00000000  1
26                                       g__Dysgonomonas 15.436559 0.00000000  1
27                                       g__Enterobacter  9.615689 0.00000000  1
28                                       g__Enterococcus  6.485679 0.00000000  1
29                                            g__Erwinia  4.685560 0.00000000  1
30                                    g__Exiguobacterium  7.672876 0.00000000  1
31                                        g__Lactococcus  9.693737 0.00000000  1
32                                        g__Marmoricola  5.139473 0.00000000  1
33                                       g__Microvirgula 14.139141 0.00000000  1
34                                      g__Mycobacterium  5.464144 0.00000000  1
35                                        g__Oligoflexus  7.773975 0.00000000  1
36                                   g__Paenarthrobacter  5.852204 0.00000000  1
37                                   g__Pseudorhodoferax  5.363473 0.00000000  1
38                                        g__Sphingobium  7.882990 0.00000000  1
39                                       g__Sphingomonas  7.457487 0.00000000  1
40                                    g__Sporacetigenium 15.546869 0.00000000  1
41                                         g__Vagococcus  8.921076 0.00000000  1
42                                         g__Variovorax  7.206758 0.00000000  1
43                                           g__Zoogloea  7.476749 0.00000000  1


